,Unnamed: 0.1,행정동,노선명,기점,종점,기점_좌표_위도,기점_좌표_경도,종점_좌표_위도,종점_좌표_경도,열선_중앙_위도,열선_중앙_경도,시작점_고도,종료점_고도,고도의_차이,경사각,Unnamed: 0,열선연장(m) (1차로 기준),차로수,최근접_시설들_거리,최근접_시설의_평균거리
0,0,구의2동,동의초 통학로,구의2동 34-8,구의2동 81-3,37.5525119833017,127.095552581844,37.553038690779,127.097008389982,37.552775337040345,127.096280485913,49.22439956665039,68.67851257324219,19.454113006591797,7.851888438100974,0,278,2,"69.65804465921263 ,129.2610924527404 ,233.10440288922752 ,199.21108881314714 ,289.4507221532783",184.1370701935212
1,1,구의2동,동의초 통학로,구의2동 23-26,구의2동 23-30,37.5527503139429,127.095643195175,37.5536263946363,127.097028956609,37.5531883542896,127.096336075892,49.54040908813477,65.58493041992188,16.044521331787102,5.862992905768745,1,76,2,"77.39515409637183 ,117.20156943020137 ,194.49670989697435 ,235.81833820454924 ,296.9583391993342",184.37402216548622
2,2,중곡4동,용곡초 통학로,용마산로22길 82,용마산로22길 82,37.5671086161443,127.088452984118,37.5671086161443,127.088452984118,37.5671086161443,127.088452984118,61.18788909912109,61.18788909912109,0.0,0.0,2,76,1,"11.861883627274176 ,118.1833782002157 ,130.76179348174512 ,157.43103340406742 ,229.1442265968557",129.47646306203163
3,3,중곡3동,용마산로33길,중곡3동 194-19,중곡3동 608-6,37.570118234933,127.085110936364,37.5702346245119,127.085883629439,37.57017642972245,127.0854972829015,32.47560882568359,39.36871337890625,6.893104553222663,5.678818466650213,3,160,2,"166.02982119449123 ,204.81680010958777 ,348.3980011127383 ,359.76901969550124 ,385.4868292005081",292.9000942625653
4,4,광장동,광진정보도서관,아차산로78길 90,아차산로78길 90,37.5510729137918,127.110615495296,37.5510729137918,127.110615495296,37.5510729137918,127.110615495296,17.13663291931152,17.13663291931152,0.0,0.0,4,140,2,"401.2254348225967 ,680.1498117474483 ,791.3464082340413 ,882.6372211071008 ,985.8930470554287",748.2503845933231
5,5,광장동,현대리버빌 앞,아차산로78가길 17,아차산로78가길 17,37.5494236463188,127.109930112048,37.5494236463188,127.109930112048,37.5494236463188,127.109930112048,22.34831237792969,22.34831237792969,0.0,0.0,5,140,2,"215.78981303326972 ,537.635849184358 ,659.6190236680787 ,805.8115116123075 ,754.0112782263592",594.5734951448746
6,6,중곡4동,용암사입구,중곡4동 176-144,중곡4동 176-42,37.56759872711,127.088253101153,37.5672255379578,127.090038703873,37.5674121325339,127.089145902513,49.84997177124023,79.41486358642578,29.56489181518555,10.295554296846246,6,229,1~1.5,"129.4181315175887 ,157.02201739271877 ,270.79617571495993 ,297.1523251452787 ,374.9484819365737",245.86742634142396
7,7,중곡4동,뻥튀기골,중곡4동 297-6,중곡4동 176-110,37.5683099321624,127.086604834602,37.5682396105563,127.08944317273,37.56827477135935,127.088024003666,31.77592658996582,73.93414306640625,42.15821647644043,9.561298505035476,7,348,1.5,"149.7613691134626 ,240.24383721365706 ,251.30778232821876 ,272.2730005105939 ,353.43143588337455",253.40348500986138
8,8,중곡4동,용마산로34길,중곡4동 289-2,중곡4동 287-2,37.5699793510196,127.086407091024,37.5698886396351,127.088329606231,37.56993399532735,127.0873683486275,41.06290054321289,68.14154815673828,27.07864761352539,9.064065410739971,8,187,1,"313.2629043538261 ,330.8224886441165 ,336.5261304292918 ,318.1892541931473 ,340.33869023051625",327.8278935701796
9,9,중곡4동,용마산로32길,중곡4동 289-10,중곡4동 294-1,37.5694441209076,127.086337197682,37.5692538216305,127.088539171407,37.56934897126905,127.08743818454452,36.33494567871094,73.17015838623047,36.83521270751953,10.68522086925315,9,237,1,"241.91251762926333 ,275.0745484209479 ,284.9687681752659 ,350.5535179582566 ,361.90109175901665",302.8820887885501
10,10,중곡4동,대원외고 앞,중곡4동 21-11,중곡4동 271-1,37.5633936413067,127.087226755905,37.5635794212282,127.088445189392,37.56348653126745,127.08783597264848,33.65242767333984,49.52387237548828,15.871444702148445,8.257422298506837,10,260,2,"58.83001622456265 ,95.15232472317362 ,106.10152591771622 ,121.66722713522215 ,151.2791562779919",106.60605005573329
11,11,구의2동,영화사로16길,구의2동 143-1,구의2동 21-32,37.5544584320115,127.094740682557,37.554098001033,127.096339110086,37.55427821652225,127.0955398963215,45.82272338867188,65.4946060180664,19.671882629394524,7.648154547114136,11,170,1,"151.38310059209664 ,121.92207783507536 ,179.36013548067342 ,265.05807651450294 ,362.266032427946",215.9978845700589
12,12,구의2동,영화사로11길,구의2동 556-6,구의2동 549-3,37.5551290899361,127.093439817602,37.5561336396539,127.094985788703,37.555631364795005,127.0942128031525,43.04014587402344,68.51651763916016,25.47637176513672,8.226913444522143,12,210,1,"189.67646877179928 ,189.67646877179928 ,272.6301770019566 ,223.35903229390846 ,334.67496579749564",242.00342252739182
13,13,구의2동,영화사로13길,구의2동 558-11,구의2동 551-2,37.5548977135453,127.093667571274,37.5559342021472,127.095267565304,37.55541595784625,127.094467568289,43.24272155761719,69.69528198242188,26.452560424804688,8.263302301870288,13,220,1,"205.65079322748062 ,205.65079322748062 ,257.58291767613895 ,243.78929955058447 ,300.7659888860376",242.68795851354443
14,14,구의2동,영화사로16가길,구의2동 22-34,구의2동 22-27,37.5534280595154,127.095178478827,37.553634204998,127.095405195316,37.553531132256694,127.0952918370715,53.82555770874023,61.82525253295898,7.99969482421875,14.73762394404737,14,50,1,"93.03089297013095 ,128.09138002377995 ,209.4381335365108 ,268.9044325252907 ,268.9044325252907",193.67385431620065
15,15,구의2동,영화사로9가길,구의2동 549-3,중곡4동 104-11,37.5561336396539,127.094985788703,37.5564524016061,127.09466273962,37.55629302063,127.0948242641615,68.51651763916016,62.54130935668945,5.975208282470703,7.486803313018494,15,70,1,"168.66720087025965 ,168.66720087025965 ,208.19599703047697 ,303.58204743333346 ,290.0101147036159",227.8245121815891
16,16,중곡4동,긴고랑로41길,중곡4동 70-12,중곡4동 69-5,37.559341957888,127.092886765247,37.558902395127,127.09249971485,37.5591221765075,127.0926932400485,48.70567321777344,31.85717964172363,16.84849357604981,15.783514138958775,16,67,1,"59.92007589953188 ,65.8477736918619 ,110.98026954990986 ,226.97398696292314 ,196.4549851888141",132.0354182586082
17,17,중곡3동,능동로55길,중곡3동 168-1,중곡3동 169-11,37.5680342564331,127.085203080729,37.5682650750847,127.085350494178,37.5681496657589,127.0852767874535,30.12018966674805,30.53824234008789,0.4180526733398402,0.8325845144842859,17,60,2,"58.44206738192114 ,85.4240377373337 ,173.11430044243482 ,168.77302437307205 ,191.55446046053473",135.46157807905928
18,18,중곡4동,용마산로36길,중곡4동 605-1,중곡4동 599-2,37.5707258119851,127.086425498827,37.5707098741828,127.088118559191,37.570717843083955,127.087272029009,38.66330718994141,68.58869934082031,29.9253921508789,11.339576841550214,18,170,1,"343.150283976559 ,405.85009036828075 ,412.2877973715677 ,414.5169837697373 ,373.3260540265053",389.82624190253006
19,19,중곡2동,능동로48길,중곡2동 36-2,중곡2동 35-2,37.561825614027,127.085907025253,37.5621173406993,127.08629954075,37.56197147736315,127.0861032830015,24.1268367767334,26.14464378356934,2.017807006835941,2.436242453380383,19,30,1,"44.511051954809204 ,68.31505827797237 ,134.65380760356533 ,152.97697493104496 ,192.05978775623979",118.50333610472633
20,20,구의2동,자양로44길 구의2동 어린이집,구의2동 43-11,구의2동 36-20,37.5498788009617,127.09512575723,37.550193768318,127.096264148519,37.55003628463985,127.0956949528745,58.64153671264648,69.54862976074219,10.90709304809571,5.858782381080227,20,90,1,"145.79299106593555 ,150.51246677686422 ,282.7984426157948 ,427.9427016906749 ,448.10694580614467",291.0307095910828
21,21,자양1동,자양로13다길 경복초 통학로,자양1동 609-17,자양1동 609-16,37.5333098494169,127.077255650486,37.5333937876458,127.07717144777,37.53335181853135,127.077213549128,18.08988952636719,18.06273078918457,0.0271587371826207,0.1304722063492201,21,30,2,"223.5973002109755 ,271.9661848914633 ,319.2868578531516 ,368.3838796572657 ,353.00818158229845",307.2484808390309
22,22,자양1동,자양로13다길,자양1동 609-17,자양1동 609-16,37.5333098494169,127.077255650486,37.5333937876458,127.07717144777,37.53335181853135,127.077213549128,18.08988952636719,18.06273078918457,0.0271587371826207,0.1304722063492201,22,30,2,"223.5973002109755 ,271.9661848914633 ,319.2868578531516 ,368.3838796572657 ,353.00818158229845",307.2484808390309
23,23,자양1동,뚝섬로59길,자양1동 659-20,자양1동 659-32,37.53249516826,127.083981354795,37.5320539362082,127.084124658416,37.5322745522341,127.0840530066055,18.46565818786621,18.00543403625488,0.4602241516113317,0.5204528446120423,23,40,1,"93.5131264508664 ,117.91122426972548 ,186.44469200000887 ,174.21918187708292 ,174.21918187708292",149.2614812949533
24,24,자양1동,자양번영로8길,자양1동 610,자양1동 611-5,37.5342900647094,127.076259773151,37.5344740066757,127.076325356314,37.53438203569255,127.0762925647325,16.87947082519531,17.32820701599121,0.448736190795902,1.2094388152643527,24,25,1,"212.93138886069897 ,193.11993344643247 ,323.0823556950834 ,281.3665585127513 ,358.9739694594883",273.89484119489083
25,25,능동,능동로30길23,능동 320-56,능동 320-58,37.5539425293948,127.079059048857,37.5537867152999,127.078971629556,37.55386462234735,127.0790153392065,19.28228187561035,19.61886787414551,0.3365859985351598,1.0169099940395103,25,50,2,"139.19358376990337 ,264.96040767615 ,332.30087920758643 ,378.43789477870837 ,478.35792436828353",318.65013796012636
26,26,광장동,아차산로78길12,광장동 121,광장동 148-4,37.5503995596063,127.109302231042,37.5496541994049,127.108873720121,37.550026879505594,127.1090879755815,33.90604400634766,30.55426025390625,3.351783752441414,2.107477291984813,26,150,2,"195.5068907269199 ,465.5468453009762 ,582.3842817251355 ,675.7404741194808 ,767.8386968405468",537.4034377426118
27,27,광장동,아차산로75길,광장동 244-24,광장동 241-1,37.5460011335625,127.104754397546,37.5457769477884,127.104468810786,37.54588904067545,127.104611604166,17.6750431060791,17.12389945983887,0.5511436462402308,0.8911869651585438,27,40,2,"197.77396162389175 ,203.38624558396225 ,238.78422168234178 ,242.86163013617505 ,289.09901701808684",234.38101520889154
28,28,구의2동,천호대로137길,구의동 57-30,구의동 57-120,37.5494562524434,127.092837038883,37.5496295853619,127.092975880407,37.549542918902645,127.092906459645,36.6270866394043,45.22002410888672,8.592937469482422,20.62416484998029,28,55,1,"242.14731983369506 ,264.6220791798175 ,288.2116866499612 ,304.90497697831506 ,389.7212308654994",297.92145870145765
29,29,중곡4동,긴고랑로39길,중곡동 71-1,중곡동 72-10,37.5593420252926,127.093258445859,37.5592911232735,127.094048146408,37.55931657428305,127.0936532961335,52.96409606933594,39.60791015625,13.356185913085938,10.826621881239838,29,50,1,"97.29063976862692 ,219.95501415296138 ,219.95501415296138 ,199.90249477559337 ,228.93431337266975",193.20749524456255
30,30,화양동,능동로 17길,화양동 132-34,화양동 132-63,37.5469073922244,127.070613019409,37.5468986668621,127.070438178343,37.546903029543245,127.070525598876,14.80286121368408,14.66805934906006,0.1348018646240198,0.5000654699546105,30,30,1,"260.42055476278017 ,224.3393001190093 ,282.1671446716862 ,292.0458661187389 ,396.2823698507881",291.05104710460057
31,31,구의2동,동의초 통학로 보도열선,구의동 662,구의동 23-29,37.5540171153721,127.09707993751,37.5534977220073,127.097150900616,37.5537574186897,127.097115419063,66.3567123413086,65.16424560546875,1.1924667358398438,1.1759632745935988,31,30,1,"79.75605309294527 ,112.14579747110791 ,182.52837732023414 ,281.21477310342 ,247.65582291586233",180.66016478071396
32,32,중곡4동,용마산로8가길,중곡동 150-323,중곡동 150-300,37.561861888647,127.088636701968,37.5617967380574,127.089365183287,37.561829313352206,127.08900094262752,43.04372406005859,53.81938552856445,10.775661468505866,9.467427750976713,32,60,1~2,"74.16631796709419 ,152.80562643757074 ,208.7273204436825 ,232.40397469308834 ,238.10431701113865",181.24151131051488
33,33,구의2동,자양로44길,구의동 37-9,구의동 33-1,37.5505896162118,127.097096314349,37.552448952076,127.09528180164,37.5515192841439,127.09618905799452,73.4155502319336,47.82870864868164,25.586841583251953,5.590428935560394,33,240,1~2,"96.6279109014862 ,164.4029898329337 ,259.2318630635086 ,257.3278404594707 ,279.4930578405608",211.41673241959202
34,34,능동,천호대로110길,능동 225-5,능동 284-1,37.5542237868272,127.078570105662,37.5538854311133,127.078616829563,37.55405460897025,127.0785934676125,18.0081729888916,18.85079765319824,0.8426246643066371,1.2753798589876073,34,50,1~2,"170.9511087830182 ,297.2719104587063 ,299.7335170299773 ,469.3300785655675 ,407.060057879675",328.86933454338885
35,35,구의3동,아차산로58가길,구의동 591,구의동 591-5,37.5356494169117,127.089586508437,37.535656474538,127.089784517843,37.53565294572485,127.08968551314,25.82183456420898,25.20560073852539,0.6162338256835902,2.0193893677295747,35,30,1~2,"78.87407139044171 ,215.47545325876945 ,215.47545326941074 ,238.20125098544182 ,234.55041594830718",196.51532897047417
36,36,구의2동,자양로41길,구의동 75-6,구의동 77-33,37.5504581207252,127.089149756155,37.5504075909737,127.088889188524,37.55043285584945,127.0890194723395,29.98883438110352,29.98338890075684,0.0054454803466796,0.0131935768583494,36,30,1~2,"152.1754383599344 ,152.1754383599344 ,193.84705968338102 ,256.2945154257349 ,353.43341522109324",221.5851734100156
37,37,광장동,아차산로78길,광장동 107,광장동 102,37.5516296605662,127.109821655707,37.5516194181635,127.110947204792,37.55162453936485,127.1103844302495,36.18687057495117,17.04120063781738,19.145669937133793,10.920561597860752,37,86,1~2,"468.50242928800736 ,739.7765040311085 ,847.9894800468406 ,938.096581063138 ,933.9458386230576",785.6621666104304
38,38,자양2동,자양로4길,뚝섬로64길 45,구의강변로11,37.5322195901849,127.090162126057,37.5322597934091,127.090960364989,37.532239691797,127.090561245523,30.33342361450195,24.51531219482422,5.818111419677731,4.715756859173821,38,110,1~2,"124.0136391471647 ,161.41871634095605 ,189.62319080030977 ,179.67397357828176 ,222.4443344363453",175.43477086061154
39,39,화양동,능동로,화양동 111-12,화양동 111-117,37.5460180138476,127.074001181744,37.5464703832462,127.074036482129,37.5462441985469,127.0740188319365,21.56104278564453,21.08268547058105,0.4783573150634801,0.5438187471836167,39,45,1~2,"89.66381934198265 ,441.36374714299956 ,533.622988253573 ,559.9315374226953 ,499.5616522876301",424.82874888977614
40,40,구의1동,자양로163,구의동 254-36,구의동 254-44,37.5422426026657,127.083778087725,37.542235073752,127.08321253884,37.54223883820885,127.0834953132825,21.85404396057129,23.29396057128906,1.43991661071777,1.6538731906815796,40,70,1~2,"61.672510856211936 ,133.1544253778694 ,147.49950739319053 ,187.08943500514138 ,237.91237271389323",153.4656502692613
